型號,進價,進價成本,全支重量,長(mm),寬(mm),厚度(mm)
BJ00127012,36.5,98.4 ,2.69 ,12.7,12.7,1.2
BJ00190012,33,136.6 ,4.14 ,19,19,1.2
BJ00190015,24.2,123.6 ,5.11 ,19,19,1.5
BJ00200012,36.5,159.4 ,4.37 ,20,20,1.2
BJ00200015,33,177.9 ,5.39 ,20,20,1.5
BJ00200020,32.5,228.8 ,7.04 ,20,20,2
BJ00250012,33,181.9 ,5.51 ,25,25,1.2
BJ00250015,24.2,165.2 ,6.82 ,25,25,1.5
BJ00250020,23.5,210.3 ,8.95 ,25,25,2
BJ00250023,23.5,239.4 ,10.19 ,25,25,2.3
BJ00300015,24.2,199.8 ,8.26 ,30,30,1.5
BJ00300020,23.5,255.2 ,10.86 ,30,30,2
BJ00300028,,0.0 ,14.87 ,30,30,2.8
BJ00300030,23.5,372.2 ,15.84 ,30,30,3
BJ00320020,,0.0 ,11.62 ,32,32,2
BJ00380015,24.2,255.3 ,10.55 ,38,38,1.5
BJ00380020,23.5,327.0 ,13.91 ,38,38,2
BJ00380030,23.5,479.9 ,20.42 ,38,38,3
BJ00400020,23.5,345.0 ,14.68 ,40,40,2
BJ00400023,23.5,394.3 ,16.78 ,40,40,2.3
BJ00400028,23.5,475.0 ,20.21 ,40,40,2.8
BJ00400030,23.5,506.9 ,21.57 ,40,40,3
BJ00400038,,0.0 ,26.86 ,40,40,3.8
BJ00500015,24.2,338.5 ,13.99 ,50,50,1.5
BJ00500020,23.5,434.7 ,18.50 ,50,50,2
BJ00500023,23.5,497.5 ,21.17 ,50,50,2.3
BJ00500028,23.5,600.7 ,25.56 ,50,50,2.8
BJ00500030,23.5,641.5 ,27.30 ,50,50,3
BJ00500032,23.5,682.0 ,29.02 ,50,50,3.2
BJ00500040,23.5,841.2 ,35.80 ,50,50,4
BJ00500045,23.5,938.5 ,39.93 ,50,50,4.5
BJ00500060,25,1297.4 ,51.90 ,50,50,6
BJ00600020,23.5,524.5 ,22.32 ,60,60,2
BJ00600030,23.5,776.1 ,33.03 ,60,60,3
BJ00600040,23.5,1020.8 ,43.44 ,60,60,4
BJ00600045,23.5,1140.4 ,48.53 ,60,60,4.5
BJ00750020,23.5,659.1 ,28.05 ,75,75,2
BJ00750028,,0.0 ,38.93 ,75,75,2.8
BJ00750030,23.5,978.1 ,41.62 ,75,75,3
BJ00750040,23.5,1290.0 ,54.90 ,75,75,4
BJ00750045,23.5,1443.4 ,61.42 ,75,75,4.5
BJ00750060,25,2013.6 ,80.54 ,75,75,6
BJ00800030,25,1112.2 ,44.49 ,80,80,3
BJ00800040,25,1467.9 ,58.72 ,80,80,4
BJ00800045,25,1642.9 ,65.72 ,80,80,4.5
BJ00800060,,0.0 ,86.27 ,80,80,6
